Èas od spuštìní[sec],"Water Temperature Sensor [°C]","In-car Temperature Sensor - Front [°C]","Teploty okolního vzduchu-senzor [°C]","Senzor výparníku [°C]","Fotosenzor na stranì øidièe [V]","Driver Air Mix Potentiometer [%]","Driver Direction Potentiometer [%]","Fotosenzor na stranì øidièe [V]","Passenger Air Mix Potentiometer [%]","Passenger Direction Potentiometer [%]","Senzor vlhkosti [%]","Potenciometr nasávání [%]","AQS Sensor kvality vzduchu [V]","Zadní potenciometr smíšeného vzduchu [%]","Zadním smìrový potenciometr [%]","Smìrový potenciometr-ventilátor øidiè [%]","Smìrový potenciometr-podlaha øidiè [%]","Smìrový potenciometr-odmlžování øidiè [%]","Console Air Direction Potentiometer - Mode [%]","Potenciometr smíšeného vzduchu v konzoly-teplota [%]","Spínaè potenciometru smíšeného vzduchu v konzoly [%]","Auto Defog Humidity Sensor [%]","Smìrový potenciometr  automat. odmlžení [%]","Duct Sensor - Driver Vent [°C]","Duct Sensor - Driver Floor [°C]","Snímaè rychlosti [km/h]","Senzor teploty chladící kapaliny motoru [°C]","Snímaè teploty v autì 2 [°C]","Compressor Operating Status","Duct Sensor - Console Vent [°C]","CO2 Sensor [ppm]","Dual Evaporator Sensor - Driver [°C]","Dual Evaporator Sensor - Passenger [°C]","Front Air Flow Potentiometer [%]","Rear Air Flow Potentiometer [%]","Duct Sensor - Passenger Vent [°C]","Duct Sensor - Passenger Floor [°C]","Duct Sensor - Console Floor [°C]","Console ON/OFF Potentiometer [%]","Rear Driver B-PILLAR Potentiometer [%]","Rear Passenger B-PILLAR Potentiometer [%]","Refrigerant Temp Sensor #1 [°C]","Refrigerant Temp Sensor #2 [°C]","2way Valve #1 Operating Status","2way Valve #2 Operating Status","3way Valve #1 Operating Status","3way Valve #2 Operating Status","Coolant Valve #1 Operating Status","HV PTC Operating Status","APT (Absolute Pressure) [kgf/cm2]","Battery Cool Valve (Evaporator) Operating Status","Battery Cool EXV (Electric expansion valve) Operating Status","Refrigerant Temp Sensor - EXV (Electric expansion valve) [°C]","APT (Absolute Pressure) - EXV (Electric expansion valve) [kgf/cm2]",
0.000000,"87.500000","17.000000","4.500000","5.000000","0.117600","66.275040","55.294559","4.998000","100.000801","55.294559","255.000000","6.274560","4.998000","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","57.000000","84.314400","30.000000","31.000000","0.000000","143.250000","87.500000","0.000000","87.500000","5100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","87.500000","87.500000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.200000","0.000000","1.000000","5.000000","2.400000",
0.230000,"87.500000","17.000000","4.500000","5.000000","0.117600","66.667198","55.294559","4.998000","100.000801","55.294559","255.000000","6.274560","4.998000","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","57.000000","84.314400","30.000000","31.000000","0.000000","143.250000","87.500000","0.000000","87.500000","5100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","87.500000","87.500000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.200000","0.000000","1.000000","5.000000","2.400000",
0.480000,"87.500000","17.000000","4.500000","5.000000","0.117600","66.275040","55.294559","4.998000","100.000801","55.294559","255.000000","6.274560","4.998000","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","57.000000","84.314400","30.000000","31.000000","0.000000","143.250000","87.500000","0.000000","87.500000","5100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","87.500000","87.500000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.200000","0.000000","1.000000","5.000000","2.400000",
0.710000,"87.500000","17.000000","4.500000","5.000000","0.117600","66.275040","55.294559","4.998000","100.000801","55.294559","255.000000","6.274560","4.998000","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","57.000000","84.314400","30.000000","31.000000","0.000000","143.250000","87.500000","0.000000","87.500000","5100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","87.500000","87.500000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.200000","0.000000","1.000000","5.000000","2.400000",
0.939000,"87.500000","17.000000","4.500000","5.000000","0.117600","66.275040","55.294559","4.998000","100.000801","55.294559","255.000000","6.274560","4.998000","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","57.000000","84.314400","30.000000","31.000000","0.000000","143.250000","87.500000","0.000000","87.500000","5100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","87.500000","87.500000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.200000","0.000000","1.000000","5.000000","2.400000",
1.171000,"87.500000","17.000000","4.500000","5.000000","0.117600","66.275040","55.294559","4.998000","100.000801","55.294559","255.000000","6.274560","4.998000","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","57.000000","84.314400","30.000000","31.000000","0.000000","143.250000","87.500000","0.000000","87.500000","5100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","87.500000","87.500000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.200000","0.000000","1.000000","5.000000","2.400000",
1.420000,"87.500000","17.000000","4.500000","5.000000","0.117600","66.275040","55.294559","4.998000","100.000801","55.294559","255.000000","6.274560","4.998000","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","57.000000","84.314400","30.000000","31.000000","0.000000","143.250000","87.500000","0.000000","87.500000","5100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","87.500000","87.500000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.200000","0.000000","1.000000","5.000000","2.400000",
1.670000,"87.500000","17.000000","4.500000","5.000000","0.117600","66.275040","55.294559","4.998000","100.000801","55.294559","255.000000","6.274560","4.998000","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","57.000000","84.314400","30.000000","30.500000","0.000000","143.250000","87.500000","0.000000","87.500000","5100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","87.500000","87.500000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.200000","0.000000","1.000000","5.000000","2.400000",
1.912000,"87.500000","17.000000","4.500000","5.000000","0.117600","66.275040","55.294559","4.998000","100.000801","55.294559","255.000000","6.274560","4.998000","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","57.000000","84.314400","30.000000","30.500000","0.000000","143.250000","87.500000","0.000000","87.500000","5100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","87.500000","87.500000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.200000","0.000000","1.000000","5.000000","2.400000",
2.161000,"87.500000","17.000000","4.500000","5.000000","0.117600","66.275040","55.294559","4.998000","100.000801","55.294559","255.000000","6.274560","4.998000","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","100.000801","57.000000","84.314400","29.500000","30.500000","0.000000","143.250000","87.500000","0.000000","87.500000","5100.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","87.500000","87.500000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.200000","0.000000","1.000000","5.000000","2.400000",
